ISO 693-3,Language Name,MMSTTS,ethnologuelink,Population Text,Population Estimate,lang_prefix,Total TTS,Variants,Online,Offline
aaa,Ghotuo,,"<a href=""https://www.ethnologue.com/language/aaa"">Ethnologue</a>",Less than 10K,9900,aaa,0,0,0,0
aab,Arum,,"<a href=""https://www.ethnologue.com/language/aab"">Ethnologue</a>",10K to 1M,500000,aab,0,0,0,0
aac,Ari,,"<a href=""https://www.ethnologue.com/language/aac"">Ethnologue</a>",,,aac,0,0,0,0
aad,Amal,,"<a href=""https://www.ethnologue.com/language/aad"">Ethnologue</a>",Less than 10K,9900,aad,0,0,0,0
aaf,Aranadan,,"<a href=""https://www.ethnologue.com/language/aaf"">Ethnologue</a>",Less than 10K,9900,aaf,0,0,0,0
aai,Miniafia Oyan,,"<a href=""https://www.ethnologue.com/language/aai"">Ethnologue</a>",Less than 10K,9900,aai,0,0,0,0
aal,Afade,,"<a href=""https://www.ethnologue.com/language/aal"">Ethnologue</a>",10K to 1M,500000,aal,0,0,0,0
aar,Afar,,"<a href=""https://www.ethnologue.com/language/aar"">Ethnologue</a>",1M to 1B,500000000,aa,0,0,0,0
aau,Abau,,"<a href=""https://www.ethnologue.com/language/aau"">Ethnologue</a>",Less than 10K,9900,aau,0,0,0,0
aaw,Solong,,"<a href=""https://www.ethnologue.com/language/aaw"">Ethnologue</a>",Less than 10K,9900,aaw,0,0,0,0
aaz,Amarasi,,"<a href=""https://www.ethnologue.com/language/aaz"">Ethnologue</a>",10K to 1M,500000,aaz,0,0,0,0
aba,Abé,,"<a href=""https://www.ethnologue.com/language/aba"">Ethnologue</a>",10K to 1M,500000,aba,0,0,0,0
abi,Abidji,y,"<a href=""https://www.ethnologue.com/language/abi"">Ethnologue</a>",10K to 1M,500000,abi,1,1,0,1
abk,Abkhaz,,"<a href=""https://www.ethnologue.com/language/abk"">Ethnologue</a>",10K to 1M,500000,ab,2,2,0,2
abm,Abanyom,,"<a href=""https://www.ethnologue.com/language/abm"">Ethnologue</a>",10K to 1M,500000,abm,0,0,0,0
abn,Abua,,"<a href=""https://www.ethnologue.com/language/abn"">Ethnologue</a>",10K to 1M,500000,abn,0,0,0,0
abo,Abon,,"<a href=""https://www.ethnologue.com/language/abo"">Ethnologue</a>",Less than 10K,9900,abo,0,0,0,0
abp,"Ayta, Abellen",y,"<a href=""https://www.ethnologue.com/language/abp"">Ethnologue</a>",Less than 10K,9900,abp,1,1,0,1
abr,Abron,,"<a href=""https://www.ethnologue.com/language/abr"">Ethnologue</a>",1M to 1B,500000000,abr,0,0,0,0
abs,"Malay, Ambonese",,"<a href=""https://www.ethnologue.com/language/abs"">Ethnologue</a>",1M to 1B,500000000,abs,0,0,0,0
abt,Ambulas,,"<a href=""https://www.ethnologue.com/language/abt"">Ethnologue</a>",10K to 1M,500000,abt,0,0,0,0
abu,Abure,,"<a href=""https://www.ethnologue.com/language/abu"">Ethnologue</a>",10K to 1M,500000,abu,0,0,0,0
abz,Abui,,"<a href=""https://www.ethnologue.com/language/abz"">Ethnologue</a>",10K to 1M,500000,abz,0,0,0,0
aca,Achagua,y,"<a href=""https://www.ethnologue.com/language/aca"">Ethnologue</a>",Less than 10K,9900,aca,1,1,0,1
acd,Gikyode,y,"<a href=""https://www.ethnologue.com/language/acd"">Ethnologue</a>",10K to 1M,500000,acd,1,1,0,1
ace,Aceh,y,"<a href=""https://www.ethnologue.com/language/ace"">Ethnologue</a>",1M to 1B,500000000,ace,1,1,0,1
acf,Lesser Antillean French Creole,y,"<a href=""https://www.ethnologue.com/language/acf"">Ethnologue</a>",10K to 1M,500000,acf,1,1,0,1
ach,Acholi,y,"<a href=""https://www.ethnologue.com/language/ach"">Ethnologue</a>",1M to 1B,500000000,ach,1,1,0,1
acn,Achang,y,"<a href=""https://www.ethnologue.com/language/acn"">Ethnologue</a>",10K to 1M,500000,acn,1,1,0,1
acr,Achi,y,"<a href=""https://www.ethnologue.com/language/acr"">Ethnologue</a>",10K to 1M,500000,acr,1,1,0,1
acu,Achuar-Shiwiar,y,"<a href=""https://www.ethnologue.com/language/acu"">Ethnologue</a>",Less than 10K,9900,acu,1,1,0,1
acv,Achumawi,,"<a href=""https://www.ethnologue.com/language/acv"">Ethnologue</a>",,,acv,0,0,0,0
acz,Acheron,,"<a href=""https://www.ethnologue.com/language/acz"">Ethnologue</a>",10K to 1M,500000,acz,0,0,0,0
ada,Dangme,,"<a href=""https://www.ethnologue.com/language/ada"">Ethnologue</a>",1M to 1B,500000000,ada,0,0,0,0
add,Lidzonka,,"<a href=""https://www.ethnologue.com/language/add"">Ethnologue</a>",Less than 10K,9900,add,0,0,0,0
ade,Adele,y,"<a href=""https://www.ethnologue.com/language/ade"">Ethnologue</a>",10K to 1M,500000,ade,1,1,0,1
adh,Jopadhola,y,"<a href=""https://www.ethnologue.com/language/adh"">Ethnologue</a>",10K to 1M,500000,adh,1,1,0,1
adi,Adi,,"<a href=""https://www.ethnologue.com/language/adi"">Ethnologue</a>",10K to 1M,500000,adi,0,0,0,0
adj,Adioukrou,y,"<a href=""https://www.ethnologue.com/language/adj"">Ethnologue</a>",10K to 1M,500000,adj,1,1,0,1
adl,"Adi, Galo",,"<a href=""https://www.ethnologue.com/language/adl"">Ethnologue</a>",10K to 1M,500000,adl,0,0,0,0
adn,Adang,,"<a href=""https://www.ethnologue.com/language/adn"">Ethnologue</a>",Less than 10K,9900,adn,0,0,0,0
ado,Abu,,"<a href=""https://www.ethnologue.com/language/ado"">Ethnologue</a>",Less than 10K,9900,ado,0,0,0,0
adq,Adangbe,,"<a href=""https://www.ethnologue.com/language/adq"">Ethnologue</a>",Less than 10K,9900,adq,0,0,0,0
adx,"Tibetan, Amdo",y,"<a href=""https://www.ethnologue.com/language/adx"">Ethnologue</a>",1M to 1B,500000000,adx,1,1,0,1
ady,Adyghe,,"<a href=""https://www.ethnologue.com/language/ady"">Ethnologue</a>",10K to 1M,500000,ady,0,0,0,0
adz,Adzera,,"<a href=""https://www.ethnologue.com/language/adz"">Ethnologue</a>",10K to 1M,500000,adz,0,0,0,0
aee,"Pashai, Northeast",,"<a href=""https://www.ethnologue.com/language/aee"">Ethnologue</a>",10K to 1M,500000,aee,0,0,0,0
ael,Ambele,,"<a href=""https://www.ethnologue.com/language/ael"">Ethnologue</a>",Less than 10K,9900,ael,0,0,0,0
aeu,Akeu,y,"<a href=""https://www.ethnologue.com/language/aeu"">Ethnologue</a>",10K to 1M,500000,aeu,1,1,0,1
aey,Amele,,"<a href=""https://www.ethnologue.com/language/aey"">Ethnologue</a>",Less than 10K,9900,aey,0,0,0,0
aez,Aeka,,"<a href=""https://www.ethnologue.com/language/aez"">Ethnologue</a>",Less than 10K,9900,aez,0,0,0,0
afe,Utugwang-Irungene-Afrike,,"<a href=""https://www.ethnologue.com/language/afe"">Ethnologue</a>",10K to 1M,500000,afe,0,0,0,0
afi,Chini,,"<a href=""https://www.ethnologue.com/language/afi"">Ethnologue</a>",,,afi,0,0,0,0
afo,Ajiri,,"<a href=""https://www.ethnologue.com/language/afo"">Ethnologue</a>",10K to 1M,500000,afo,0,0,0,0
afr,Afrikaans,,"<a href=""https://www.ethnologue.com/language/afr"">Ethnologue</a>",1M to 1B,500000000,af,2,1,2,0
afu,Awutu,,"<a href=""https://www.ethnologue.com/language/afu"">Ethnologue</a>",10K to 1M,500000,afu,0,0,0,0
afz,Obokuitai,,"<a href=""https://www.ethnologue.com/language/afz"">Ethnologue</a>",Less than 10K,9900,afz,0,0,0,0
agb,Legbo,,"<a href=""https://www.ethnologue.com/language/agb"">Ethnologue</a>",10K to 1M,500000,agb,0,0,0,0
agc,Agatu,,"<a href=""https://www.ethnologue.com/language/agc"">Ethnologue</a>",10K to 1M,500000,agc,0,0,0,0
agd,Agarabi,y,"<a href=""https://www.ethnologue.com/language/agd"">Ethnologue</a>",10K to 1M,500000,agd,1,1,0,1
age,Angal,,"<a href=""https://www.ethnologue.com/language/age"">Ethnologue</a>",10K to 1M,500000,age,0,0,0,0
agf,Arguni,,"<a href=""https://www.ethnologue.com/language/agf"">Ethnologue</a>",Less than 10K,9900,agf,0,0,0,0
agg,Angor,y,"<a href=""https://www.ethnologue.com/language/agg"">Ethnologue</a>",Less than 10K,9900,agg,1,1,0,1
agh,Ngelima,,"<a href=""https://www.ethnologue.com/language/agh"">Ethnologue</a>",10K to 1M,500000,agh,0,0,0,0
agi,Agariya,,"<a href=""https://www.ethnologue.com/language/agi"">Ethnologue</a>",10K to 1M,500000,agi,0,0,0,0
agl,Fembe,,"<a href=""https://www.ethnologue.com/language/agl"">Ethnologue</a>",Less than 10K,9900,agl,0,0,0,0
agn,Agutaynen,y,"<a href=""https://www.ethnologue.com/language/agn"">Ethnologue</a>",10K to 1M,500000,agn,1,1,0,1
agr,Awajún,y,"<a href=""https://www.ethnologue.com/language/agr"">Ethnologue</a>",10K to 1M,500000,agr,1,1,0,1
ags,Esimbi,,"<a href=""https://www.ethnologue.com/language/ags"">Ethnologue</a>",10K to 1M,500000,ags,0,0,0,0
agt,"Agta, Central Cagayan",,"<a href=""https://www.ethnologue.com/language/agt"">Ethnologue</a>",Less than 10K,9900,agt,0,0,0,0
agu,Awakateko,y,"<a href=""https://www.ethnologue.com/language/agu"">Ethnologue</a>",10K to 1M,500000,agu,1,1,0,1
agw,Kahua,,"<a href=""https://www.ethnologue.com/language/agw"">Ethnologue</a>",Less than 10K,9900,agw,0,0,0,0
agx,Aghul,y,"<a href=""https://www.ethnologue.com/language/agx"">Ethnologue</a>",10K to 1M,500000,agx,1,1,0,1
agy,"Alta, Southern",,"<a href=""https://www.ethnologue.com/language/agy"">Ethnologue</a>",Less than 10K,9900,agy,0,0,0,0
aha,Ahanta,y,"<a href=""https://www.ethnologue.com/language/aha"">Ethnologue</a>",10K to 1M,500000,aha,1,1,0,1
ahb,Axamb,,"<a href=""https://www.ethnologue.com/language/ahb"">Ethnologue</a>",Less than 10K,9900,ahb,0,0,0,0
ahg,Qimant,,"<a href=""https://www.ethnologue.com/language/ahg"">Ethnologue</a>",Less than 10K,9900,ahg,0,0,0,0
ahk,Akha,y,"<a href=""https://www.ethnologue.com/language/ahk"">Ethnologue</a>",10K to 1M,500000,ahk,1,1,0,1
ahl,Igo,,"<a href=""https://www.ethnologue.com/language/ahl"">Ethnologue</a>",Less than 10K,9900,ahl,0,0,0,0
ahp,"Aizi, Aproumu",,"<a href=""https://www.ethnologue.com/language/ahp"">Ethnologue</a>",Less than 10K,9900,ahp,0,0,0,0
